Date,Symbol,Timeframe,Type,Pattern,BRS_Score,Entry,SL,Target,Close,Volume,DeliveryQty,DeliveryPct,DelivSpikeRatio,Daily_RSI
27-07-2026,LUPIN,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,2432.1,2368.1,2624.1,2410.0,1179096,737727,62.57,,48.26
27-07-2026,M&M,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,3246.8,3179.0,3450.2,3238.6,2264570,1354234,59.8,,58.02
27-07-2026,MANAPPURAM,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,361.5,354.65,382.05,359.85,3881990,1863626,48.01,,67.88
27-07-2026,MARICO,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,864.6,852.0,902.4,858.65,1006199,551556,54.82,,59.27
27-07-2026,MARUTI,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,13760.0,13501.0,14537.0,13730.0,333477,182035,54.59,,51.44
27-07-2026,MAXHEALTH,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,1119.8,1085.4,1223.0,1114.6,1759824,863901,49.09,,56.87
27-07-2026,MAZDOCK,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,2336.2,2299.0,2447.8,2330.3,496352,155677,31.36,,39.47
27-07-2026,MCX,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,2766.9,2733.1,2868.3,2755.1,932313,457600,49.08,,44.7
27-07-2026,MFSL,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,1532.6,1500.9,1627.7,1511.1,556988,307972,55.29,,36.93
27-07-2026,MOTHERSON,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,149.5,146.3,159.1,148.97,13920800,7289624,52.36,,60.91
27-07-2026,MOTILALOFS,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,882.55,862.85,941.65,869.3,1491913,465967,31.23,,34.45
27-07-2026,MPHASIS,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,2368.5,2316.4,2524.8,2332.7,726071,306903,42.27,,51.24
27-07-2026,MUTHOOTFIN,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,3061.6,3015.0,3201.4,3025.9,517845,279315,53.94,,46.14
27-07-2026,NAM-INDIA,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,1159.9,1119.2,1282.0,1153.9,1164795,589422,50.6,,48.04
27-07-2026,NATIONALUM,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,346.05,338.35,369.15,339.35,3868006,1767444,45.69,,39.65
27-07-2026,NAUKRI,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,1203.0,1171.45,1297.65,1194.3,2342436,1287287,54.96,,64.36
27-07-2026,NBCC,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,95.95,94.5,100.3,94.9,6593505,1988563,30.16,,39.76
27-07-2026,NESTLEIND,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,1461.5,1435.3,1540.1,1446.1,2030304,1244467,61.29,,52.53
27-07-2026,NHPC,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,80.04,78.91,83.43,79.72,6965651,1978427,28.4,,52.6
27-07-2026,NMDC,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,84.41,83.31,87.71,83.52,11291198,6340410,56.15,,43.12
27-07-2026,NTPC,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,353.0,347.8,368.6,350.8,12350753,7673049,62.13,,47.01
27-07-2026,NUVAMA,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,2008.7,1902.0,2328.8,1916.6,475623,180303,37.91,,57.86
27-07-2026,NYKAA,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,327.85,323.65,340.45,326.75,3589386,1969542,54.87,,64.75
27-07-2026,OBEROIRLTY,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,1854.1,1823.3,1946.5,1832.6,300191,128508,42.81,,50.62
27-07-2026,OFSS,D,PRE_BREAKOUT,MTF_RSI_ACCUMULATION,,11189.0,10665.0,12761.0,11089.0,460067,105874,23.01,,53.51
